"Notes"	"State"	"State Code"	"Year"	"Year Code"	Count	Percent of Total	Rate	Population
	"Ohio"	"39"	"2000"	"2000"	338	0.102%	2.974	11363543
	"Ohio"	"39"	"1999"	"1999"	317	0.095%	2.797	11335454
	"Ohio"	"39"	"1998"	"1998"	230	0.069%	2.033	11311536
	"Ohio"	"39"	"1997"	"1997"	286	0.086%	2.536	11277357
	"Ohio"	"39"	"1996"	"1996"	301	0.091%	2.677	11242827
	"Ohio"	"39"	"1995"	"1995"	280	0.084%	2.499	11202751
	"Ohio"	"39"	"1994"	"1994"	345	0.104%	3.093	11152455
	"Ohio"	"39"	"1993"	"1993"	308	0.093%	2.774	11101140
	"Oklahoma"	"40"	"2013"	"2013"	69	0.021%	1.792	3850568
	"Oklahoma"	"40"	"2012"	"2012"	88	0.026%	2.306	3815780
	"Oklahoma"	"40"	"2011"	"2011"	94	0.028%	2.483	3785534
	"Oklahoma"	"40"	"2010"	"2010"	86	0.026%	2.288	3759263
	"Oklahoma"	"40"	"2009"	"2009"	102	0.031%	2.744	3717572
	"Oklahoma"	"40"	"2008"	"2008"	100	0.030%	2.726	3668976
	"Oklahoma"	"40"	"2007"	"2007"	149	0.045%	4.100	3634349
	"Oklahoma"	"40"	"2006"	"2006"	144	0.043%	4.007	3594090
	"Oklahoma"	"40"	"2005"	"2005"	144	0.043%	4.058	3548597
	"Oklahoma"	"40"	"2004"	"2004"	178	0.054%	5.049	3525233
	"Oklahoma"	"40"	"2003"	"2003"	163	0.049%	4.651	3504892
	"Oklahoma"	"40"	"2002"	"2002"	190	0.057%	5.446	3489080
	"Oklahoma"	"40"	"2001"	"2001"	193	0.058%	5.567	3467100
	"Oklahoma"	"40"	"2000"	"2000"	153	0.046%	4.429	3454365
	"Oklahoma"	"40"	"1999"	"1999"	208	0.063%	6.052	3437148
	"Oklahoma"	"40"	"1998"	"1998"	197	0.059%	5.785	3405194
	"Oklahoma"	"40"	"1997"	"1997"	211	0.064%	6.256	3372918
	"Oklahoma"	"40"	"1996"	"1996"	199	0.060%	5.958	3340129
	"Oklahoma"	"40"	"1995"	"1995"	236	0.071%	7.134	3308208
	"Oklahoma"	"40"	"1994"	"1994"	260	0.078%	7.925	3280940
	"Oklahoma"	"40"	"1993"	"1993"	208	0.063%	6.396	3252285
	"Oregon"	"41"	"2013"	"2013"	73	0.022%	1.857	3930065
	"Oregon"	"41"	"2012"	"2012"	61	0.018%	1.564	3899801
	"Oregon"	"41"	"2011"	"2011"	74	0.022%	1.913	3867937
	"Oregon"	"41"	"2010"	"2010"	87	0.026%	2.267	3837208
	"Oregon"	"41"	"2009"	"2009"	89	0.027%	2.337	3808600
	"Oregon"	"41"	"2008"	"2008"	75	0.023%	1.990	3768748
	"Oregon"	"41"	"2007"	"2007"	94	0.028%	2.525	3722417
	"Oregon"	"41"	"2006"	"2006"	81	0.024%	2.207	3670883
	"Oregon"	"41"	"2005"	"2005"	103	0.031%	2.851	3613202
	"Oregon"	"41"	"2004"	"2004"	106	0.032%	2.970	3569463
	"Oregon"	"41"	"2003"	"2003"	106	0.032%	2.988	3547376
	"Oregon"	"41"	"2002"	"2002"	111	0.033%	3.159	3513424
	"Oregon"	"41"	"2001"	"2001"	123	0.037%	3.547	3467937
	"Oregon"	"41"	"2000"	"2000"	119	0.036%	3.470	3429708
	"Oregon"	"41"	"1999"	"1999"	123	0.037%	3.624	3393941
	"Oregon"	"41"	"1998"	"1998"	156	0.047%	4.653	3352449
	"Oregon"	"41"	"1997"	"1997"	161	0.048%	4.872	3304310
	"Oregon"	"41"	"1996"	"1996"	188	0.057%	5.790	3247111
	"Oregon"	"41"	"1995"	"1995"	156	0.047%	4.899	3184369
	"Oregon"	"41"	"1994"	"1994"	165	0.050%	5.286	3121264
	"Oregon"	"41"	"1993"	"1993"	153	0.046%	4.999	3060367
	"Pennsylvania"	"42"	"2013"	"2013"	214	0.064%	1.675	12773801
	"Pennsylvania"	"42"	"2012"	"2012"	234	0.070%	1.833	12764475
	"Pennsylvania"	"42"	"2011"	"2011"	260	0.078%	2.041	12741310
	"Pennsylvania"	"42"	"2010"	"2010"	238	0.072%	1.872	12710472
	"Pennsylvania"	"42"	"2009"	"2009"	236	0.071%	1.863	12666858
	"Pennsylvania"	"42"	"2008"	"2008"	387	0.117%	3.068	12612285
	"Pennsylvania"	"42"	"2007"	"2007"	275	0.083%	2.189	12563937
	"Pennsylvania"	"42"	"2006"	"2006"	337	0.101%	2.694	12510809
	"Pennsylvania"	"42"	"2005"	"2005"	320	0.096%	2.570	12449990
	"Pennsylvania"	"42"	"2004"	"2004"	328	0.099%	2.643	12410722
	"Pennsylvania"	"42"	"2003"	"2003"	336	0.101%	2.715	12374658
	"Pennsylvania"	"42"	"2002"	"2002"	353	0.106%	2.863	12331031
	"Pennsylvania"	"42"	"2001"	"2001"	349	0.105%	2.838	12298970
	"Pennsylvania"	"42"	"2000"	"2000"	383	0.115%	3.118	12284173
	"Pennsylvania"	"42"	"1999"	"1999"	453	0.136%	3.694	12263805
	"Pennsylvania"	"42"	"1998"	"1998"	447	0.135%	3.650	12245672
	"Pennsylvania"	"42"	"1997"	"1997"	524	0.158%	4.285	12227814
	"Pennsylvania"	"42"	"1996"	"1996"	580	0.175%	4.746	12220464
	"Pennsylvania"	"42"	"1995"	"1995"	673	0.203%	5.517	12198403
	"Pennsylvania"	"42"	"1994"	"1994"	616	0.185%	5.063	12166050
	"Pennsylvania"	"42"	"1993"	"1993"	741	0.223%	6.114	12119724
	"Rhode Island"	"44"	"2013"	"2013"	27	0.008%	2.568	1051511
	"Rhode Island"	"44"	"2012"	"2012"	23	0.007%	2.190	1050304
	"Rhode Island"	"44"	"2011"	"2011"	27	0.008%	2.571	1050350
	"Rhode Island"	"44"	"2010"	"2010"	26	0.008%	2.470	1052669
	"Rhode Island"	"44"	"2009"	"2009"	24	0.007%	2.278	1053646
	"Rhode Island"	"44"	"2008"	"2008"	36	0.011%	3.412	1055003
	"Rhode Island"	"44"	"2007"	"2007"	45	0.014%	4.256	1057315
	"Rhode Island"	"44"	"2006"	"2006"	26	0.008%	2.446	1063096
	"Rhode Island"	"44"	"2005"	"2005"	47	0.014%	4.401	1067916
	"Rhode Island"	"44"	"2004"	"2004"	51	0.015%	4.746	1074579
	"Rhode Island"	"44"	"2003"	"2003"	46	0.014%	4.294	1071342
	"Rhode Island"	"44"	"2002"	"2002"	49	0.015%	4.597	1065995
	"Rhode Island"	"44"	"2001"	"2001"	60	0.018%	5.676	1057142
	"Rhode Island"	"44"	"2000"	"2000"	49	0.015%	4.665	1050268
	"Rhode Island"	"44"	"1999"	"1999"	53	0.016%	5.094	1040402
	"Rhode Island"	"44"	"1998"	"1998"	63	0.019%	6.110	1031155
	"Rhode Island"	"44"	"1997"	"1997"	40	0.012%	3.901	1025353
	"Rhode Island"	"44"	"1996"	"1996"	35	0.011%	3.428	1020893
	"Rhode Island"	"44"	"1995"	"1995"	50	0.015%	4.916	1017002
	"Rhode Island"	"44"	"1994"	"1994"	56	0.017%	5.512	1015960
	"Rhode Island"	"44"	"1993"	"1993"	65	0.020%	6.403	1015113
	"South Carolina"	"45"	"2013"	"2013"	112	0.034%	2.346	4774839
	"South Carolina"	"45"	"2012"	"2012"	122	0.037%	2.583	4723417
	"South Carolina"	"45"	"2011"	"2011"	140	0.042%	2.996	4673509
	"South Carolina"	"45"	"2010"	"2010"	153	0.046%	3.300	4636361
	"South Carolina"	"45"	"2009"	"2009"	164	0.049%	3.573	4589872
	"South Carolina"	"45"	"2008"	"2008"	188	0.057%	4.151	4528996
	"South Carolina"	"45"	"2007"	"2007"	218	0.066%	4.905	4444110
	"South Carolina"	"45"	"2006"	"2006"	222	0.067%	5.094	4357847
	"South Carolina"	"45"	"2005"	"2005"	261	0.079%	6.112	4270150
	"South Carolina"	"45"	"2004"	"2004"	233	0.070%	5.533	4210921
	"South Carolina"	"45"	"2003"	"2003"	254	0.076%	6.120	4150297
	"South Carolina"	"45"	"2002"	"2002"	256	0.077%	6.232	4107795
	"South Carolina"	"45"	"2001"	"2001"	263	0.079%	6.470	4064995
	"South Carolina"	"45"	"2000"	"2000"	286	0.086%	7.107	4024223
	"South Carolina"	"45"	"1999"	"1999"	315	0.095%	7.925	3974682
	"South Carolina"	"45"	"1998"	"1998"	286	0.086%	7.297	3919235
	"South Carolina"	"45"	"1997"	"1997"	328	0.099%	8.498	3859696
	"South Carolina"	"45"	"1996"	"1996"	348	0.105%	9.167	3796200
	"South Carolina"	"45"	"1995"	"1995"	334	0.101%	8.910	3748582
	"South Carolina"	"45"	"1994"	"1994"	387	0.117%	10.444	3705397
	"South Carolina"	"45"	"1993"	"1993"	401	0.121%	10.946	3663314
	"South Dakota"	"46"	"2013"	"2013"	9	0.003%	1.065	844877
	"South Dakota"	"46"	"2012"	"2012"	19	0.006%	2.278	834047
	"South Dakota"	"46"	"2011"	"2011"	15	0.005%	1.821	823772
	"South Dakota"	"46"	"2010"	"2010"	15	0.005%	1.838	816211
	"South Dakota"	"46"	"2009"	"2009"	18	0.005%	2.230	807067
	"South Dakota"	"46"	"2008"	"2008"	16	0.005%	2.002	799124
	"South Dakota"	"46"	"2007"	"2007"	13	0.004%	1.642	791623
	"South Dakota"	"46"	"2006"	"2006"	14	0.004%	1.788	783033
	"South Dakota"	"46"	"2005"	"2005"	16	0.005%	2.063	775493
	"South Dakota"	"46"	"2004"	"2004"	11	0.003%	1.428	770396
	"South Dakota"	"46"	"2003"	"2003"	20	0.006%	2.619	763729
	"South Dakota"	"46"	"2002"	"2002"	13	0.004%	1.710	760020
	"South Dakota"	"46"	"2001"	"2001"	13	0.004%	1.715	757972
	"South Dakota"	"46"	"2000"	"2000"	16	0.005%	2.117	755844
	"South Dakota"	"46"	"1999"	"1999"	21	0.006%	2.798	750413
	"South Dakota"	"46"	"1998"	"1998"	23	0.007%	3.083	746059
	"South Dakota"	"46"	"1997"	"1997"	19	0.006%	2.553	744223
	"South Dakota"	"46"	"1996"	"1996"	19	0.006%	2.560	742214
	"South Dakota"	"46"	"1995"	"1995"	28	0.008%	3.794	737926
	"South Dakota"	"46"	"1994"	"1994"	28	0.008%	3.831	730790
	"South Dakota"	"46"	"1993"	"1993"	16	0.005%	2.216	722160
	"Tennessee"	"47"	"2013"	"2013"	142	0.043%	2.186	6495978
	"Tennessee"	"47"	"2012"	"2012"	163	0.049%	2.525	6454914
	"Tennessee"	"47"	"2011"	"2011"	156	0.047%	2.438	6398361
	"Tennessee"	"47"	"2010"	"2010"	193	0.058%	3.036	6356683
	"Tennessee"	"47"	"2009"	"2009"	202	0.061%	3.203	6306019
	"Tennessee"	"47"	"2008"	"2008"	282	0.085%	4.514	6247411
	"Tennessee"	"47"	"2007"	"2007"	235	0.071%	3.805	6175727
	"Tennessee"	"47"	"2006"	"2006"	277	0.083%	4.549	6088766
	"Tennessee"	"47"	"2005"	"2005"	299	0.090%	4.991	5991057
	"Tennessee"	"47"	"2004"	"2004"	278	0.084%	4.703	5910809
	"Tennessee"	"47"	"2003"	"2003"	286	0.086%	4.891	5847812
	"Tennessee"	"47"	"2002"	"2002"	308	0.093%	5.314	5795918
	"Tennessee"	"47"	"2001"	"2001"	313	0.094%	5.443	5750789
	"Tennessee"	"47"	"2000"	"2000"	382	0.115%	6.697	5703719
	"Tennessee"	"47"	"1999"	"1999"	382	0.115%	6.775	5638706
	"Tennessee"	"47"	"1998"	"1998"	439	0.132%	7.881	5570045
	"Tennessee"	"47"	"1997"	"1997"	468	0.141%	8.510	5499233
	"Tennessee"	"47"	"1996"	"1996"	504	0.152%	9.305	5416643
	"Tennessee"	"47"	"1995"	"1995"	465	0.140%	8.729	5326936
	"Tennessee"	"47"	"1994"	"1994"	519	0.156%	9.921	5231438
	"Tennessee"	"47"	"1993"	"1993"	554	0.167%	10.783	5137584
	"Texas"	"48"	"2013"	"2013"	1222	0.368%	4.620	26448193
	"Texas"	"48"	"2012"	"2012"	1234	0.372%	4.735	26060796
	"Texas"	"48"	"2011"	"2011"	1317	0.397%	5.136	25640909
	"Texas"	"48"	"2010"	"2010"	1380	0.416%	5.466	25245178
	"Texas"	"48"	"2009"	"2009"	1494	0.450%	6.024	24801761
	"Texas"	"48"	"2008"	"2008"	1500	0.452%	6.171	24309039
	"Texas"	"48"	"2007"	"2007"	1504	0.453%	6.311	23831983
	"Texas"	"48"	"2006"	"2006"	1566	0.472%	6.704	23359580
	"Texas"	"48"	"2005"	"2005"	1525	0.459%	6.695	22778123
	"Texas"	"48"	"2004"	"2004"	1670	0.503%	7.457	22394023
	"Texas"	"48"	"2003"	"2003"	1579	0.475%	7.167	22030931
	"Texas"	"48"	"2002"	"2002"	1538	0.463%	7.091	21690325
	"Texas"	"48"	"2001"	"2001"	1631	0.491%	7.650	21319622
	"Texas"	"48"	"2000"	"2000"	1496	0.450%	7.143	20944499
	"Texas"	"48"	"1999"	"1999"	1639	0.494%	7.972	20558220
	"Texas"	"48"	"1998"	"1998"	1802	0.543%	8.940	20157531
	"Texas"	"48"	"1997"	"1997"	1980	0.596%	10.030	19740317
	"Texas"	"48"	"1996"	"1996"	2066	0.622%	10.682	19340342
	"Texas"	"48"	"1995"	"1995"	2340	0.705%	12.343	18958751
	"Texas"	"48"	"1994"	"1994"	2511	0.756%	13.526	18564062
	"Texas"	"48"	"1993"	"1993"	2370	0.714%	13.050	18161612
	"Utah"	"49"	"2013"	"2013"	33	0.010%	1.138	2900872
	"Utah"	"49"	"2012"	"2012"	37	0.011%	1.296	2854871
	"Utah"	"49"	"2011"	"2011"	34	0.010%	1.208	2814784
	"Utah"	"49"	"2010"	"2010"	20	0.006%	0.721	2774424
	"Utah"	"49"	"2009"	"2009"	37	0.011%	1.359	2723421
	"Utah"	"49"	"2008"	"2008"	27	0.008%	1.014	2663029
	"Utah"	"49"	"2007"	"2007"	39	0.012%	1.501	2597746
	"Utah"	"49"	"2006"	"2006"	34	0.010%	1.346	2525507
	"Utah"	"49"	"2005"	"2005"	29	0.009%	1.180	2457719
	"Utah"	"49"	"2004"	"2004"	36	0.011%	1.499	2401580
	"Utah"	"49"	"2003"	"2003"	39	0.012%	1.652	2360137
	"Utah"	"49"	"2002"	"2002"	31	0.009%	1.333	2324815
	"Utah"	"49"	"2001"	"2001"	35	0.011%	1.533	2283715
	"Utah"	"49"	"2000"	"2000"	49	0.015%	2.183	2244502
	"Utah"	"49"	"1999"	"1999"	40	0.012%	1.815	2203482
	"Utah"	"49"	"1998"	"1998"	52	0.016%	2.401	2165961
	"Utah"	"49"	"1997"	"1997"	36	0.011%	1.698	2119784
	"Utah"	"49"	"1996"	"1996"	58	0.017%	2.805	2067976
	"Utah"	"49"	"1995"	"1995"	48	0.014%	2.383	2014179
	"Utah"	"49"	"1994"	"1994"	56	0.017%	2.856	1960446
	"Utah"	"49"	"1993"	"1993"	47	0.014%	2.476	1898404
	"Vermont"	"50"	"2013"	"2013"	5	0.002%	0.798	626630
	"Vermont"	"50"	"2012"	"2012"	4	0.001%	0.639	625953
	"Vermont"	"50"	"2011"	"2011"	8	0.002%	1.277	626320
	"Vermont"	"50"	"2010"	"2010"	5	0.002%	0.799	625793
	"Vermont"	"50"	"2009"	"2009"	6	0.002%	0.960	624817
	"Vermont"	"50"	"2008"	"2008"	6	0.002%	0.961	624151
	"Vermont"	"50"	"2007"	"2007"	3	0.001%	0.481	623481
	"Vermont"	"50"	"2006"	"2006"	8	0.002%	1.284	622892
	"Vermont"	"50"	"2005"	"2005"	8	0.002%	1.288	621215
	"Vermont"	"50"	"2004"	"2004"	6	0.002%	0.968	619920
	"Vermont"	"50"	"2003"	"2003"	8	0.002%	1.295	617858
	"Vermont"	"50"	"2002"	"2002"	8	0.002%	1.300	615442
	"Vermont"	"50"	"2001"	"2001"	7	0.002%	1.143	612223
	"Vermont"	"50"	"2000"	"2000"	4	0.001%	0.656	609618
	"Vermont"	"50"	"1999"	"1999"	3	0.001%	0.496	604683
	"Vermont"	"50"	"1998"	"1998"	5	0.002%	0.833	600416
	"Vermont"	"50"	"1997"	"1997"	6	0.002%	1.005	597239
	"Vermont"	"50"	"1996"	"1996"	4	0.001%	0.674	593701
	"Vermont"	"50"	"1995"	"1995"	4	0.001%	0.679	589003
	"Vermont"	"50"	"1994"	"1994"	11	0.003%	1.884	583836
	"Vermont"	"50"	"1993"	"1993"	7	0.002%	1.212	577748
	"Virginia"	"51"	"2013"	"2013"	180	0.054%	2.179	8260405
	"Virginia"	"51"	"2012"	"2012"	235	0.071%	2.871	8186628
	"Virginia"	"51"	"2011"	"2011"	221	0.067%	2.726	8105850
	"Virginia"	"51"	"2010"	"2010"	268	0.081%	3.340	8024417
	"Virginia"	"51"	"2009"	"2009"	271	0.082%	3.419	7925937
	"Virginia"	"51"	"2008"	"2008"	292	0.088%	3.728	7833496
	"Virginia"	"51"	"2007"	"2007"	309	0.093%	3.987	7751000
	"Virginia"	"51"	"2006"	"2006"	332	0.100%	4.326	7673725
	"Virginia"	"51"	"2005"	"2005"	355	0.107%	4.685	7577105
	"Virginia"	"51"	"2004"	"2004"	329	0.099%	4.401	7475575
	"Virginia"	"51"	"2003"	"2003"	332	0.100%	4.507	7366977
	"Virginia"	"51"	"2002"	"2002"	315	0.095%	4.323	7286873
	"Virginia"	"51"	"2001"	"2001"	306	0.092%	4.251	7198362
	"Virginia"	"51"	"2000"	"2000"	292	0.088%	4.109	7105817
	"Virginia"	"51"	"1999"	"1999"	334	0.101%	4.771	7000174
	"Virginia"	"51"	"1998"	"1998"	340	0.102%	4.927	6900918
	"Virginia"	"51"	"1997"	"1997"	349	0.105%	5.110	6829183
	"Virginia"	"51"	"1996"	"1996"	348	0.105%	5.155	6750884
	"Virginia"	"51"	"1995"	"1995"	356	0.107%	5.337	6670693
	"Virginia"	"51"	"1994"	"1994"	370	0.111%	5.612	6593139
	"Virginia"	"51"	"1993"	"1993"	456	0.137%	7.005	6509630
	"Washington"	"53"	"2013"	"2013"	210	0.063%	3.012	6971406
	"Washington"	"53"	"2012"	"2012"	185	0.056%	2.683	6895318
	"Washington"	"53"	"2011"	"2011"	199	0.060%	2.917	6821481
	"Washington"	"53"	"2010"	"2010"	239	0.072%	3.545	6742256
	"Washington"	"53"	"2009"	"2009"	256	0.077%	3.840	6667426
	"Washington"	"53"	"2008"	"2008"	228	0.069%	3.474	6562231
	"Washington"	"53"	"2007"	"2007"	291	0.088%	4.504	6461587
	"Washington"	"53"	"2006"	"2006"	262	0.079%	4.113	6370753
	"Washington"	"53"	"2005"	"2005"	255	0.077%	4.075	6257305
	"Washington"	"53"	"2004"	"2004"	245	0.074%	3.965	6178645
	"Washington"	"53"	"2003"	"2003"	250	0.075%	4.096	6104115
	"Washington"	"53"	"2002"	"2002"	252	0.076%	4.164	6052349
	"Washington"	"53"	"2001"	"2001"	261	0.079%	4.360	5985722
	"Washington"	"53"	"2000"	"2000"	258	0.078%	4.365	5910512
	"Washington"	"53"	"1999"	"1999"	258	0.078%	4.416	5842564
	"Washington"	"53"	"1998"	"1998"	265	0.080%	4.593	5769562
	"Washington"	"53"	"1997"	"1997"	305	0.092%	5.375	5674747
	"Washington"	"53"	"1996"	"1996"	283	0.085%	5.081	5569753
	"Washington"	"53"	"1995"	"1995"	277	0.083%	5.054	5481027
	"Washington"	"53"	"1994"	"1994"	260	0.078%	4.837	5375161
	"Washington"	"53"	"1993"	"1993"	283	0.085%	5.361	5278842
	"West Virginia"	"54"	"2013"	"2013"	13	0.004%	0.701	1854304
	"West Virginia"	"54"	"2012"	"2012"	8	0.002%	0.431	1856680
	"West Virginia"	"54"	"2011"	"2011"	13	0.004%	0.701	1855184
	"West Virginia"	"54"	"2010"	"2010"	15	0.005%	0.809	1854146
	"West Virginia"	"54"	"2009"	"2009"	19	0.006%	1.028	1847775
	"West Virginia"	"54"	"2008"	"2008"	28	0.008%	1.521	1840310
	"West Virginia"	"54"	"2007"	"2007"	24	0.007%	1.309	1834052
	"West Virginia"	"54"	"2006"	"2006"	22	0.007%	1.204	1827912
	"West Virginia"	"54"	"2005"	"2005"	28	0.008%	1.538	1820492
	"West Virginia"	"54"	"2004"	"2004"	24	0.007%	1.321	1816438
	"West Virginia"	"54"	"2003"	"2003"	21	0.006%	1.159	1812295
	"West Virginia"	"54"	"2002"	"2002"	30	0.009%	1.662	1805414
	"West Virginia"	"54"	"2001"	"2001"	32	0.010%	1.776	1801481
	"West Virginia"	"54"	"2000"	"2000"	33	0.010%	1.826	1807021
	"West Virginia"	"54"	"1999"	"1999"	42	0.013%	2.318	1811799
	"West Virginia"	"54"	"1998"	"1998"	42	0.013%	2.313	1815609
	"West Virginia"	"54"	"1997"	"1997"	54	0.016%	2.968	1819113
	"West Virginia"	"54"	"1996"	"1996"	57	0.017%	3.127	1822808
	"West Virginia"	"54"	"1995"	"1995"	71	0.021%	3.893	1823700
	"West Virginia"	"54"	"1994"	"1994"	80	0.024%	4.395	1820421
	"West Virginia"	"54"	"1993"	"1993"	75	0.023%	4.126	1817539
	"Wisconsin"	"55"	"2013"	"2013"	50	0.015%	0.871	5742713
	"Wisconsin"	"55"	"2012"	"2012"	71	0.021%	1.240	5724554
	"Wisconsin"	"55"	"2011"	"2011"	70	0.021%	1.226	5708785
	"Wisconsin"	"55"	"2010"	"2010"	55	0.017%	0.967	5689060
	"Wisconsin"	"55"	"2009"	"2009"	67	0.020%	1.182	5669264
	"Wisconsin"	"55"	"2008"	"2008"	68	0.020%	1.205	5640996
	"Wisconsin"	"55"	"2007"	"2007"	70	0.021%	1.248	5610775
	"Wisconsin"	"55"	"2006"	"2006"	74	0.022%	1.327	5577655
	"Wisconsin"	"55"	"2005"	"2005"	67	0.020%	1.208	5546166
	"Wisconsin"	"55"	"2004"	"2004"	95	0.029%	1.723	5514026
	"Wisconsin"	"55"	"2003"	"2003"	66	0.020%	1.205	5479203
	"Wisconsin"	"55"	"2002"	"2002"	78	0.023%	1.432	5445162
	"Wisconsin"	"55"	"2001"	"2001"	86	0.026%	1.591	5406835
	"Wisconsin"	"55"	"2000"	"2000"	92	0.028%	1.712	5373999
	"Wisconsin"	"55"	"1999"	"1999"	110	0.033%	2.063	5332666
	"Wisconsin"	"55"	"1998"	"1998"	109	0.033%	2.058	5297673
	"Wisconsin"	"55"	"1997"	"1997"	130	0.039%	2.469	5266213
	"Wisconsin"	"55"	"1996"	"1996"	114	0.034%	2.180	5229986
	"Wisconsin"	"55"	"1995"	"1995"	119	0.036%	2.295	5184836
	"Wisconsin"	"55"	"1994"	"1994"	110	0.033%	2.143	5133678
	"Wisconsin"	"55"	"1993"	"1993"	102	0.031%	2.006	5084889
	"Wyoming"	"56"	"2012"	"2012"	3	0.001%	0.520	576626
	"Wyoming"	"56"	"2011"	"2011"	4	0.001%	0.705	567329
	"Wyoming"	"56"	"2010"	"2010"	7	0.002%	1.241	564222
	"Wyoming"	"56"	"2009"	"2009"	2	0.001%	0.357	559851
	"Wyoming"	"56"	"2008"	"2008"	5	0.002%	0.916	546043
	"Wyoming"	"56"	"2007"	"2007"	2	0.001%	0.374	534876
	"Wyoming"	"56"	"2006"	"2006"	4	0.001%	0.765	522667
	"Wyoming"	"56"	"2004"	"2004"	5	0.002%	0.982	509106
	"Wyoming"	"56"	"2003"	"2003"	4	0.001%	0.795	503453
	"Wyoming"	"56"	"2002"	"2002"	3	0.001%	0.600	500017
	"Wyoming"	"56"	"2001"	"2001"	3	0.001%	0.606	494657
	"Wyoming"	"56"	"2000"	"2000"	4	0.001%	0.809	494300
	"Wyoming"	"56"	"1999"	"1999"	3	0.001%	0.610	491780
	"Wyoming"	"56"	"1998"	"1998"	4	0.001%	0.815	490787
	"Wyoming"	"56"	"1997"	"1997"	2	0.001%	0.409	489452
	"Wyoming"	"56"	"1996"	"1996"	7	0.002%	1.434	488167
	"Wyoming"	"56"	"1995"	"1995"	5	0.002%	1.031	485160
	"Wyoming"	"56"	"1994"	"1994"	12	0.004%	2.499	480283
	"Wyoming"	"56"	"1993"	"1993"	7	0.002%	1.480	473081
"---"
"Dataset: OTIS 2013 TB Data"
"Query Parameters:"
"Title:"
"Age Groups, Broad: All"
"Alcohol Use: All"
"Bridged Race / Ethnicity: All"
"Completion of Therapy Within One Year: All"
"Correctional Facility: All"
"Directly Observed Therapy: All"
"Disease Site: All"
"Drug Use, Injecting: All"
"Drug Use, Non-injecting: All"
"HIV Status: All"
"Homeless in Past Year: All"
"Long-term Care Facility: All"
"Multidrug-Resistant: All"
"Previous TB: All"
"Residence at Diagnosis: All"
"Revised Occupation: All"
"Sex: All"
"State: The United States"
"Tested for Isoniazid & Rifampin Susceptibility: All"
"Tested for Isoniazid Susceptibility: All"
"U.S. or Foreign Born: All"
"Verification Criteria: All"
"Vital Status: All"
"Year: All"
"Years in U.S.: All"
"Group By: State, Year"
"Show Totals: False"
"Show Zero Values: False"
"Show Suppressed: False"
"Calculate Rates Per: 100,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/tb.html for more information."
"---"
"Query Date: Dec 31, 2015 3:03:49 PM"
"---"
"Suggested Citation: Online Tuberculosis Information System (OTIS), National Tuberculosis Surveillance System, United States,"
"1993-2013. U.S. Department of Health and Human Services (US DHHS), Centers for Disease Control and Prevention (CDC), Division of"
"TB Elimination, CDC WONDER Online Database, April 2015. Accessed at http://wonder.cdc.gov/tb-v2013.html on Dec 31, 2015 3:03:49"
"PM"
"---"
Messages:
"1. Rows with zero Count are hidden. Use Quick Options above to show zero rows."
"---"
Caveats:
"1. Rates and population show 'Not Applicable' when no population data are available."
"2. The Online Tuberculosis Information System (OTIS) uses different population sources for the calculation of incidence rates"
"for years 2000-2010 than those used in published TB Annual Reports. Hence, rates and population figures reported in OTIS are"
"different than those reported in TB publications. The most current population sources available at the time of release or"
"publication are used, thus the rates in both the annual reports and OTIS are based on the best available population estimates at"
"production time. OTIS 2010 uses the following US population sources: the Bridged-Race 1990-1999 Intercensal Population Estimates"
"(released July 26, 2004) for years 1993-1999, the revised Bridged-Race 2000-2009 Intercensal Population Estimates (released"
"October 26, 2012) for years 2000-2009, and the Bridged-Race Postcensal Vintage 2013 Population Estimates (released June 26,"
"2014) for years 2010-2013. Puerto Rico population estimates for years 1993-1999 are from the U.S. Census Bureau, International"
"Data Base; population estimates for years 2000-2010 are from the Puerto Rico Intercensal Estimates 2000-2010 (released October"
"2012); and population estimates for years 2011-2013 are from the Vintage 2013: Puerto Rico Commonwealth Tables of postcensal"
"estimates."
